Station Name,Zipcode,Latitude,Longitude
521406-222 2nd St,94105,37.786651,-122.397949
EVSP WALGREENS STORE 2088,94114,37.750738,-122.433831
St. Ignatius College Preparatory,94116,37.749666,-122.49572
Four Embarcadero Center,94111,37.7952,-122.3961
Two Embarcadero Center,94111,37.7950272,-122.3985003
531404  Two Embarcadero Center,94111,37.794454,-122.3985089
531403  Four Embarcadero Center,94111,37.794454,-122.3985089
Foundry III,94105,37.7879608,-122.3961165
101 Second Street Garage,94105,37.7878613,-122.3994485
ACE Parking - 625 2nd St Pkg Grg,94107,37.7814995,-122.3912756
ACE Parking / 1776 Sacramento,94109,37.7915441,-122.4221102
Broadway Charger (btw Pierce & Steiner),94115,37.79422,-122.437701
ACE PKG - 875 HOWARD GRG,94103,37.7819286,-122.4041764
Dolby Laboratories,94103,37.777522,-122.415426
625 GARAGE STATION 1,94107,37.781887,-122.390854
550 KEARNY STATION 1,94111,37.793514,-122.404236
RINCON CENTER RINCON 3,94105,37.79186,-122.39286
PARKMERCED FO150PMTOWER2G,94132,37.715705,-122.473492
PARKMERCED F0100PMTOWER2G,94132,37.715233,-122.472778
450 SOUTH ST EV STATION 06,94158,37.769004,-122.388411
PARKMERCED CH055PMTOWER2G,94132,37.713888,-122.472559
Letterman Digital Arts Center - Tesla Supercharger,94129,37.798185,-122.448715
Golden Gate National Recreation Area - Fort Mason,94123,37.805408,-122.432211
Hilton San Francisco Financial District - Tesla Destination,94108,37.795208,-122.404869
HUDSON PACIFIC 1455 STATION 9,94103,37.774854,-122.417127
The Masonic - Tesla Destination,94108,37.791537,-122.412813
UCSF - 1630 3rd Garage,94158,37.768,-122.39
Community Center Garage,94158,37.768299,-122.393775
Third Street Garage,94158,37.768046,-122.389712
Owens Street Garage,94158,37.765967,-122.392255
UCSF Parnassus,94143,37.764017,-122.458463
Letterman Digital Arts Center Public,94129,37.798811,-122.448826
Stonestown Galleria Sports Basement,94132,37.728954,-122.477707
CCSF-SFMTA JCG ANNEX 1,94115,37.784902,-122.432567
HUDSON PACIFIC 1455 STATION 10,94103,37.774846,-122.417113
CCSF-SFMTA CIVIC CTR 6,94102,37.780295,-122.417671
FAAO CHARGE STATION 2,94109,37.806522,-122.41977
CHASE CENTER BBOPS AREA B3,94158,37.768009,-122.388589
CCSF-SFMTA MOSCONE CTR 5,94103,37.784401,-122.399612
CCSF-SFMTA SFGH 3,94110,37.754872,-122.405106
BEACON GARAGE 250 KING ST 4,94107,37.778305,-122.393055
CCSF-SFMTA SUTTER 1,94108,37.78932,-122.406038
CCSF - SFO SFO LOT D-3,94128,37.616523,-122.384864
CCSF - SFO SFO LOT B-1,94128,37.61551,-122.385964
"LONGFELLOW 1800 6 (67,86)",94158,37.765729,-122.392587
UCSF CAMPUS ACC P7 EV2,94143,37.763552,-122.457723
UCSF CAMPUS ACC P5 EV2,94122,37.763634,-122.45763
275 BATTERY 275 BATTERY 1,94111,37.793828,-122.400455
STATION 1 CHARGER 1,94111,37.792189,-122.398394
BAMC P1 STATION 2,94105,37.788014,-122.391391
CCSF SFMTA ELLIS 1,94102,37.785976,-122.407309
4A CHARGERS MAIN GARAGE 4A,94109,37.806046,-122.422422
UCSF CAMPUS MBEVSE1,94158,37.76829,-122.393962
BASEMENT LEVEL 270 STATION 2,94107,37.782762,-122.391199
UDR 399 FREMONT 85,94105,37.786936,-122.392127
MONOGRAM RES OLUME 2,94103,37.774966,-122.416038
CCSF - SFO SFO LOT C-2,94128,37.615911,-122.385167
CCSF - SFO VALET 4-1,94128,37.616257,-122.384989
CCSF-SFMTA ST MARYS 4,94108,37.792015,-122.40499
CCSF-SFMTA JAPAN CTR 1,94115,37.785057,-122.43
PELL 600 HAR 1,94107,37.784104,-122.395858
ARE-ILLINOIS ST STATION 1,94158,37.766051,-122.387537
G1 EV CHARGERS 455 MARKET,94105,37.79081,-122.398522
ARE-ILLINOIS ST STATION 2,94158,37.766074,-122.387597
425 MARKET ST. STATION 2,94105,37.79119,-122.39837
ESSEX MISSION BAY 3,94158,37.773019,-122.391584
UCSF CAMPUS MBHOSPITAL EV5,94158,37.768125,-122.394213
333 BRANNAN STATION #1,94107,37.781056,-122.392353
WHOLE FOODS MKT 1150 OCEAN 1,94112,37.723972,-122.454994
ABM PARKING LOT A-1,94158,37.773097,-122.389495
UDR SHOP 1,94158,37.772633,-122.397095
"Pine Street, CA Inc.",94108,37.7919436,-122.4045169
"Safeway 0739 - San Francisco, CA",94110,37.74291,-122.42203
"Safeway 0985 - San Francisco, CA",94122,37.75397,-122.48867
Opera Plaza - Tesla Supercharger,94102,37.781445,-122.421319
,,,
Lakeshore Plaza,94132,37.73241,-122.48944
Alice Griffith Apartments - 2700,94124,37.71823,-122.385519
Dr. George W. Davis Senior Center,94124,37.725662,-122.395556
275 Battery St - Tesla Destination,94111,37.793863,-122.40037
55 Second Street Garage - Tesla Destination,94105,37.788655,-122.400563
China Basin - Tesla Destination,94107,37.776503,-122.392039
Flickr HQ - Tesla Destination,94105,37.786933,-122.392477
Recology San Francisco - Tesla Destination,94134,37.70817,-122.401032
ThirdLove HQ - Tesla Destination,94107,37.761671,-122.388331
"Safeway 0995 - San Francisco, CA",94115,37.78365,-122.4313
Adobe - SF Office - Phase 1,94103,37.770767,-122.401661
City of San Francisco - 49 SVN,94102,37.774142,-122.418547
City of San Francisco - Civic Center,94102,37.780368,-122.417714
CCSF-SFMTA SUTTER 5,94108,37.790001,-122.406539
HUDSON PACIFIC 1455 STATION 3,94103,37.774915,-122.417238
HUDSON PACIFIC 1455 STATION 5,94103,37.7749,-122.417204
HUDSON PACIFIC 1455 STATION 7,94103,37.774876,-122.417163
HUDSON PACIFIC 1455 STATION 1,94103,37.774933,-122.41726
HUDSON PACIFIC 1455 STATION 8,94103,37.774868,-122.417151
HUDSON PACIFIC 1455 STATION 6,94103,37.774891,-122.417189
HUDSON PACIFIC 1455 STATION 4,94103,37.774905,-122.417212
HUDSON PACIFIC 1455 STATION 2,94103,37.774923,-122.417247
RINCON CENTER RINCON 2,94105,37.791862,-122.392876
RINCON CENTER RINCON 1,94105,37.791744,-122.392746
CCSF-SFMTA CIVIC CTR 7,94102,37.780296,-122.417635
CCSF-SFMTA CIVIC CTR 8,94102,37.780302,-122.41761
CCSF-SFMTA CIVIC CTR 5,94102,37.780124,-122.417846
CCSF-SFMTA CIVIC CTR 4,94102,37.780122,-122.417725
CHASE CENTER BBOPS 2,94158,37.768081,-122.388565
FAAO CHARGE STATION 3,94109,37.806466,-122.419826
FAAO CHARGE STATION 1,94109,37.80648,-122.419812
CHASE CENTER AREA C ZONE 3-2,94158,37.769118,-122.386488
CCSF-SFMTA UNION SQUARE 2,94108,37.787932,-122.407568
BEACON GARAGE 250 KING ST 3,94107,37.778307,-122.393063
BEACON GARAGE 250 KING ST 2,94107,37.77832,-122.393071
BEACON GARAGE 250 KING ST 1,94107,37.778322,-122.393082
CCSF - SFO SFO LTP 6K.5G,94128,37.635641,-122.401344
CCSF - SFO SFO LTP 6K.1G,94128,37.635603,-122.401317
CCSF - SFO SFO LTP 6K.9,94128,37.635699,-122.401363
CCSF - SFO SFO LTP 6K.8,94128,37.635654,-122.401331
CCSF - SFO SFO LTP 6K.7,94128,37.635684,-122.40139
CCSF - SFO SFO LTP 6K.6,94128,37.635671,-122.401374
CCSF - SFO SFO LTP 6K.4,94128,37.635654,-122.401387
CCSF - SFO SFO LTP 6K.3,94128,37.63565,-122.401384
CCSF - SFO SFO LTP 6K.2,94128,37.635663,-122.40136
CCSF - SFO SFO LTP 5K.1,94128,37.635642,-122.401324
CCSF - SFO SFO LTP 5K.2,94128,37.635608,-122.401343
CCSF - SFO SFO LTP 5K.3,94128,37.635566,-122.40137
CCSF - SFO SFO LTP 5K.5G,94128,37.635682,-122.401432
CCSF - SFO SFO LTP 3K.8,94128,37.635646,-122.401314
CCSF - SFO SFO LTP 3K.7,94128,37.635619,-122.401351
CCSF - SFO SFO LTP 3K.6,94128,37.635663,-122.401338
CCSF - SFO SFO LTP 3K.4,94128,37.635663,-122.4013
CCSF - SFO SFO LTP 3K.3,94128,37.635672,-122.401338
CCSF - SFO SFO LTP 3K.1,94128,37.635612,-122.401341
CCSF - SFO SFO LTP 3K.5G,94128,37.635653,-122.401322
CCSF - SFO SFO LTP 2K.9,94128,37.635695,-122.401314
CCSF - SFO SFO LTP 2K.8,94128,37.635653,-122.401354
CCSF - SFO SFO LTP 2K.7,94128,37.635568,-122.401378
CCSF - SFO SFO LTP 2K.2,94128,37.635684,-122.401359
CCSF - SFO SFO LTP 2K.6,94128,37.635699,-122.401373
CCSF - SFO SFO LTP 2K.4,94128,37.635693,-122.401305
CCSF - SFO SFO LTP 2K.5G,94128,37.635687,-122.401322
CCSF - SFO SFO LTP 1K.40,94128,37.636516,-122.401984
CCSF - SFO SFO LTP 1L.41G,94128,37.636494,-122.402038
CCSF - SFO SFO LTP 1K.8,94128,37.635693,-122.401346
CCSF - SFO SFO LTP 1K.7,94128,37.635672,-122.401351
CCSF - SFO SFO LTP 1K.6,94128,37.635641,-122.401336
CCSF - SFO SFO LTP 1K.5G,94128,37.635679,-122.401326
CCSF - SFO SFO LTP 1K.4,94128,37.635631,-122.401336
CCSF - SFO SFO LTP 1K.3,94128,37.63564,-122.401319
CCSF - SFO SFO LTP 1K.2,94128,37.635612,-122.401297
CCSF - SFO SFO LTP 1K.1,94128,37.635612,-122.401303
CCSF - SFO SFO LTP 5K.4,94128,37.63561,-122.401437
CCSF - SFO SFO LTP 5K.6,94128,37.635619,-122.401311
CCSF - SFO SFO LTP 5K.7,94128,37.63564,-122.401383
CCSF - SFO SFO LTP 5K.8,94128,37.635627,-122.401389
CCSF - SFO SFO LTP 5K.9,94128,37.635614,-122.401394
CCSF - SFO SFO LTP 3K.2,94128,37.635651,-122.401373
CCSF - SFO SFO LTP 3K.9,94128,37.635682,-122.401335
CCSF - SFO SFO LTP 2K.3,94128,37.635673,-122.401308
CCSF - SFO SFO LTP 2K.1,94128,37.635663,-122.401383
CCSF - SFO SFO LTP 1L.42,94128,37.636483,-122.402106
CCSF - SFO SFO LTP 1K.9,94128,37.635659,-122.40134
450 SOUTH ST EV STATION 03,94158,37.769013,-122.388373
450 SOUTH ST EV STATION 04,94158,37.769251,-122.388522
450 SOUTH ST EV STATION 05,94158,37.769243,-122.388478
450 SOUTH ST EV STATION 08,94158,37.769255,-122.38847
450 SOUTH ST EV STATION 07,94158,37.769185,-122.388429
450 SOUTH ST EV STATION 02,94158,37.769204,-122.388319
450 SOUTH ST EV STATION 01,94158,37.769132,-122.388304
CCSF - SFO SFO LOT A-2,94128,37.615658,-122.386781
CCSF - SFO SFO LOT A-6,94128,37.615579,-122.386827
CCSF - SFO SFO LOT E-2,94128,37.617043,-122.385766
CCSF - SFO SFO LOT A-1,94128,37.615728,-122.386736
CCSF - SFO SFO LOT D-1,94128,37.616497,-122.385122
CCSF - SFO SFO LOT E-1,94128,37.617131,-122.385723
CCSF - SFO SFO LOT C-1,94128,37.615877,-122.385027
CCSF - SFO SFO LOT E-6,94128,37.617183,-122.385675
CCSF - SFO SFO LOT G-1,94128,37.616775,-122.387034
CCSF - SFO SFO LOT C-3,94128,37.615827,-122.385237
CCSF - SFO SFO LOT C-4,94128,37.615766,-122.385129
CCSF - SFO SFO LOT C-6,94128,37.615852,-122.384899
CCSF - SFO SFO LOT E-3,94128,37.616899,-122.385554
CCSF - SFO SFO LOT F-7,94128,37.61707,-122.386806
CCSF - SFO SFO LOT E-4,94128,37.617028,-122.38551
CCSF - SFO SFO LOT E-5,94128,37.617138,-122.385454
CCSF - SFO SFO LOT D-2,94128,37.616514,-122.384993
CCSF - SFO SFO LOT G-2,94128,37.616796,-122.38712
CCSF - SFO SFO LOT B-2,94128,37.615412,-122.385953
"LONGFELLOW 1800 1 (6,7)",94158,37.765712,-122.392623
"LONGFELLOW 1800 3 (20,54)",94158,37.765763,-122.392596
"LONGFELLOW 1800 5 (60,61)",94158,37.765804,-122.392585
"LONGFELLOW 1800 2 (9,10)",94158,37.765755,-122.392559
"LONGFELLOW 1800 4 (57,58)",94158,37.765772,-122.392596
"LONGFELLOW 1800 9 (92,92)",94158,37.765695,-122.392564
"LONGFELLOW 1800 8 (90,90)",94158,37.765772,-122.392607
"LONGFELLOW 1800 6 (63,64)",94158,37.765729,-122.392596
UCSF CAMPUS ACC P6 EV2,94143,37.763632,-122.457764
UCSF CAMPUS ACC P5 EV1,94143,37.763581,-122.457767
UCSF CAMPUS ACC P7 EV1,94143,37.763594,-122.457796
UCSF CAMPUS ACC P4 EV2,94122,37.76362,-122.457668
UCSF CAMPUS ACC P4 EV1,94122,37.763596,-122.457735
UCSF CAMPUS ACC P6 EV1,94122,37.763581,-122.457735
275 BATTERY 275 BATTERY 2,94111,37.793862,-122.400509
BAMC P1 STATION 1,94105,37.788012,-122.391521
UCSF CAMPUS MBEVSE4,94158,37.768297,-122.39379
UCSF CAMPUS MBEVSE2,94158,37.768289,-122.393906
UCSF CAMPUS MBEVSE3,94158,37.768295,-122.393845
BASEMENT LEVEL 270 STATION 1,94107,37.782725,-122.391201
UDR 124-125,94105,37.787178,-122.392237
UDR 122-123,94105,37.787118,-122.392149
UDR 78-79,94105,37.787207,-122.392387
UDR 82-83,94105,37.786974,-122.392186
"UDR HP, FLOOR 1",94105,37.787258,-122.392307
UDR 120-121,94105,37.787076,-122.392092
UDR 80-81,94105,37.78697,-122.392264
MONOGRAM RES OLUME 1,94103,37.77499,-122.41607
CCSF - SFO SFO INT LOT G-1,94128,37.615615,-122.392937
CCSF - SFO SFO INT LOT G-6,94128,37.615442,-122.393111
CCSF - SFO SFO INT LOT G-7,94128,37.615465,-122.39307
CCSF - SFO SFO INT LOT G-8,94128,37.615489,-122.393017
PELL 600 HAR 2,94107,37.784126,-122.395826
ARE-ILLINOIS ST STATION 3,94158,37.766082,-122.387586
ESSEX MISSION BAY 2,94158,37.773038,-122.391581
ESSEX MISSION BAY 1,94158,37.773066,-122.391581
UCSF CAMPUS MBHOSPITAL EV8,94158,37.76813,-122.394116
UCSF CAMPUS MBHOSPITAL EV7,94158,37.76813,-122.394148
UCSF CAMPUS MBHOSPITAL EV3,94158,37.76812,-122.394273
UCSF CAMPUS MBHOSPITAL EV4,94158,37.768121,-122.394246
UCSF CAMPUS MBHOSPITAL EV6,94158,37.768128,-122.394181
UCSF CAMPUS MBHOSPITAL EV1,94158,37.768114,-122.394341
UCSF CAMPUS MBHOSPITAL EV2,94158,37.76812,-122.394307
WHOLE FOODS MKT 1150 OCEAN 2,94112,37.723972,-122.454964
ABM PARKING LOT 2-B,94158,37.773114,-122.38949
UDR SHOP 2,94158,37.772625,-122.397165
Mason O' Farrell Garage,94102,37.786467,-122.409766
FAA - National Airspace Facility (SFO ATCT),94128,37.621313,-122.378955
SEC San Francisco,94130,37.812467,-122.362181
EPA San Francisco,94105,37.785487,-122.398057
CHASE CENTER BRIDGECLUB 4,94158,37.768069,-122.388603
CHASE CENTER BRIDGECLUB 2,94158,37.768094,-122.388596
CHASE CENTER BRIDGECLUB 5,94158,37.768179,-122.388557
CHASE CENTER BRIDGECLUB 3,94158,37.768088,-122.388606
CHASE CENTER BRIDGECLUB 1,94158,37.768085,-122.388597
UNITED AIRLINES SFO EV 1,94128,37.631874,-122.395317
UNITED AIRLINES SFO EV 2,94128,37.632131,-122.395293
UNITED AIRLINES SFO EV 5,94128,37.631944,-122.3954
UNITED AIRLINES SFO EV 4,94128,37.631649,-122.395226
UNITED AIRLINES SFO EV 3,94128,37.632014,-122.395438
City Center - Tesla Supercharger,94118,37.782076,-122.447026
"Columbia REIT - 650 California, LLC",94108,37.792629,-122.405029
San Francisco International Airport - G1,94128,37.6161599,-122.3968687
San Francisco International Airport - G2,94128,37.6161599,-122.3968687
San Francisco International Airport - G5,94128,37.6161599,-122.3968687
San Francisco International Airport - G6,94128,37.6161599,-122.3968687
San Francisco International Airport - G10,94128,37.6161599,-122.3968687
San Francisco International Airport - G13,94128,37.6161599,-122.3968687
San Francisco International Airport - G7,94128,37.6161599,-122.3968687
San Francisco International Airport - G3 West,94128,37.6161599,-122.3968687
San Francisco International Airport - G3 East,94128,37.6161599,-122.3968687
San Francisco International Airport - D2 East,94128,37.6161599,-122.3968687
San Francisco International Airport - D2 West,94128,37.6161599,-122.3968687
San Francisco International Airport - D4 West,94128,37.6161599,-122.3968687
Three Embarcadero Center,94111,37.7951389,-122.3973611
500 Howard ST,94105,37.7884892,-122.3967349
531405  One Embarcadero Center,94111,37.794454,-122.3985089
One Embaracadero Center,94111,37.7944167,-122.3996389
531402 - Three Embarcadero Center,94111,37.7948167,-122.397348
Treasure Island JCC,94130,37.77493,-122.419416
HOSPITAL SMMC SF EV 01,94117,37.773955,-122.453227
HOSPITAL SMMC SF EV 03,94117,37.774158,-122.453587
HOSPITAL SMMC SF EV 02,94117,37.77393,-122.4533
UCSF CAMPUS MBEVSE5,94158,37.768303,-122.393709
HUDSON875 GW 1,94103,37.781943,-122.403957
1199 E Beach Street (US-TL7-QXE-1),94129,37.806096,-122.449455
Stonestown Galleria Peets,94132,37.727838,-122.476348
Stonestown Galleria Whole Foods,94132,37.729487,-122.475922
Stonestown Galleria City Sports Club,94132,37.729744,-122.477468
Stonestown Galleria,94132,37.728165,-122.477445
UDR 388 BEALE,94105,37.787613,-122.391629
UDR UDR STAION 9,94105,37.787701,-122.391763
UDR UDR 388 BEALE,94105,37.787703,-122.391971
Stonestown Galleria DCFC,94132,37.728734,-122.47625
425 MARKET ST. STATION 1,94105,37.791332,-122.398215
St Regis Hotel,94103,37.785866,-122.401217
Four Seasons Hotel,94103,37.786313,-122.404781
Design District,94103,37.768251,-122.401806
Design District 02,94103,37.768313,-122.401805
"LONGFELLOW 1800 10 (95,96)",94158,37.765767,-122.392553
SFSTATE LOT 20 01,94132,37.72424,-122.481349
SFSTATE LOT 20 03,94132,37.724287,-122.481444
SFSTATE LOT 20 04,94132,37.724313,-122.481488
SFSTATE LOT 20 05,94132,37.724337,-122.481533
SFSTATE LOT 20 06,94132,37.724362,-122.481579
SFSTATE LOT 20 02,94132,37.724264,-122.481395
SFSTATE LOT 20 07,94132,37.724487,-122.481476
SFSTATE LOT 20 08,94132,37.724466,-122.481428
SFSTATE LOT 20 09,94132,37.724441,-122.481382
SFSTATE LOT 20 10,94132,37.724416,-122.481334
SFSTATE LOT 20 11,94132,37.724395,-122.481289
SFSTATE LOT 20 12,94132,37.724375,-122.481249
1199 E Beach Street (US-TL7-QXE-2),94129,37.806096,-122.449455
RH3C+J3 Marina District (US-7MK-ZS3-2),94109,37.804146,-122.429803
EVSP WALGREENS STORE 4570,94116,37.741657,-122.498475
100 PINE PARKING LEVEL 1,94111,37.792644,-122.399081
Alice Griffith Apartments - 2600,94124,37.71823,-122.385519
221 Main Public Parking Garage,94105,37.790344,-122.39221
Moma-City Park,94105,37.786471,-122.400421
Millennium Towers,94105,37.790543,-122.395922
100 PINE GARAGE B3,94111,37.792644,-122.399038
SFSTATE LOT 20 18,94132,37.72431,-122.481046
NEMA Apartments,94103,37.775819,-122.417239
101 LOMBARD ST LEVI'S PLAZA 2,94111,37.8029,-122.40271
MILLS GARAGE MILLS GARAGE,94104,37.791303,-122.402356
UC Hastings Parking Garage,94102,37.781147,-122.41668
Trinity Place,94103,37.7782,-122.41375
Whole Foods Market,94114,37.7681548,-122.4268005
Walgreens,94133,37.80501,-122.41723
Whole Foods Market,94107,37.78122,-122.39974
Whole Foods Market,94107,37.76443,-122.40282
Whole Foods Market,94109,37.789923,-122.423811
Whole Foods Market,94112,37.723957,-122.454409
AMC Parking Lot Geary Blvd,94109,37.7850447,-122.4198061
Lucky San Francisco #756,94117,37.77604,-122.44565
EVgo 350 Pacific Hub,94111,37.79776,-122.40172
The Masonic P1 DCFC,94108,37.791187,-122.41294
CCSF - Ocean Campus South Parking Lot,94112,37.725345,-122.44793
Nema Valet Parking Garage DCFC,94103,37.775794,-122.417213
1000 Green St Apartments,94133,37.798818,-122.415833
DGS Lot 88,94102,37.78066,-122.4211
303 SECOND ST. KILROY REALTY 1,94107,37.784839,-122.39538
303 SECOND ST. KILROY REALTY 2,94107,37.784843,-122.395214
UNITED AIRLINES SFOMP 1,94128,37.637894,-122.393375
UNITED AIRLINES SFOMP 2,94128,37.637962,-122.393418
UNITED AIRLINES SFOMP 4,94128,37.637586,-122.393174
UNITED AIRLINES SFOMP 3,94128,37.637949,-122.39338
SFSTATE LOT 20 17,94132,37.724134,-122.481139
SFSTATE LOT 20 15,94132,37.724085,-122.481047
SFSTATE LOT 20 14,94132,37.724058,-122.481002
SFSTATE LOT 20 16,94132,37.724109,-122.481094
SFSTATE LOT 20 13,94132,37.724031,-122.480954
SFSTATE LOT 20 19,94132,37.723921,-122.481347
UNITED AIRLINES SFOMP 5,94128,37.637936,-122.393279
STATION 1 STATION 2,94111,37.794122,-122.39908
650 TOWNSEND BCP 3,94103,37.770303,-122.403937
650 TOWNSEND BCP 2,94103,37.770252,-122.403883
650 TOWNSEND BCP 7,94103,37.770286,-122.40384
650 TOWNSEND BCP 9,94103,37.770269,-122.403873
650 TOWNSEND BCP 5,94103,37.770235,-122.403883
650 TOWNSEND BCP 6,94103,37.770218,-122.403873
650 TOWNSEND BCP 8,94103,37.770286,-122.403873
650 TOWNSEND BCP 4,94103,37.770269,-122.403926
650 TOWNSEND BCP 1,94103,37.770336,-122.403787
HUDSON PACIFIC 1455 LOBBY 1,94103,37.775745,-122.418191
HUDSON PACIFIC 1455 LOBBY 2,94103,37.775747,-122.418214
650 TOWNSEND BCP 10,94103,37.770235,-122.40383
MHC 78 L.P. 691CHINABASINEV,94158,37.771541,-122.392623
Impark Parking,94108,37.79032,-122.409755
"San Francisco, CA - Letterman Drive (Wall Connector) - Tesla Destination",94129,37.798837,-122.448332
"San Francisco, CA - 2675 Geary Boulevard - Tesla Destination",94118,37.78223,-122.44641
555 DE HARO 555DEHARO,94107,37.76261,-122.400756
Webster Street Care Center Northeast DCFC,94115,37.790495,-122.432202
CCSF - Ocean Campus North Parking Lot,94112,37.726154,-122.447845
The Masonic P1,94108,37.791206,-122.412899
CCSF - Ocean Campus Cloud Circle,94112,37.725956,-122.449541
CCSF - Ocean Campus Multi-Use Building Lot,94112,37.72491,-122.452746
Webster Street Care Center Southwest DCFC,94115,37.79038,-122.432179
The Masonic P3 DCFC,94108,37.791135,-122.41282
Stonestown Galleria Peets DCFC,94132,37.727952,-122.476323
2100 Webster Street Care Center,94115,37.790471,-122.432133
Stonestown Galleria 03-04,94132,37.728375,-122.476698
The Masonic P3,94108,37.791197,-122.412815
RINCON CENTER STATION 2,94105,37.791884,-122.393045
RINCON CENTER STATION 1,94105,37.791926,-122.393088
UCSF CAMPUS 1-1,94107,37.764719,-122.388231
UCSF CAMPUS 1-2,94107,37.764634,-122.38821
UCSF CAMPUS 1-3,94107,37.76466,-122.388274
UCSF CAMPUS 1-4,94158,37.764982,-122.388242
UCSF CAMPUS 1-S1,94158,37.764889,-122.38836
UCSF CAMPUS 2-S1,94107,37.764761,-122.388424
UCSF CAMPUS 2-S2,94107,37.76505,-122.388478
UCSF CAMPUS 2-1,94107,37.764643,-122.388317
UCSF CAMPUS 2-2,94107,37.764842,-122.38821
UCSF CAMPUS 2-3,94107,37.764694,-122.388408
101 CAL PARKING LL1-4AB,94111,37.793265,-122.398307
101 CAL PARKING LL1-6AB,94111,37.793282,-122.398307
RH3C+J3 Marina District (US-7MK-ZS3-3),94109,37.804152,-122.42974
RH3C+J3 Marina District (US-7MK-ZS3-4),94109,37.804152,-122.42974
RH3C+J3 Marina District (US-7MK-ZS3-1),94109,37.804146,-122.429803
1200 California Corporation,94109,37.791743,-122.414455
101 LOMBARD ST LEVIS RAPID 2,94111,37.803712,-122.404534
101 LOMBARD ST LEVIS RAPID 1,94111,37.803712,-122.404469
560 Mission Street,94105,37.7888023,-122.3994457
101 CAL PARKING LL1-3,94111,37.793172,-122.398296
JLL/Ace Parking,94105,37.7885734,-122.3951353
InterContinental Hotel San Francisco,94103,37.7822079,-122.4048266
NORTHPARK GAW 750 FRONT S-1,94111,37.798193,-122.399652
NORTHPARK GAW 750 FRONT S-2,94111,37.798203,-122.399641
HUDSON PACIFIC 1455 DOCK 2,94103,37.775448,-122.41779
HUDSON PACIFIC 1455 DOCK 1,94103,37.775497,-122.41808
Harrison Street Flagship,94107,37.77856,-122.40272
50 JONES EV 50 JONES EV 1,94102,37.781541,-122.411966
50 JONES EV 50 JONES EV 2,94102,37.781493,-122.411955
50 JONES EV 50 JONES EV 3,94102,37.78165,-122.412153
560 MISSION DCFC1,94105,37.788889,-122.399528
560 MISSION DCFC2,94105,37.788864,-122.399485
UCSF CAMPUS 2130 3RD ST,94107,37.762652,-122.389221
Potrero Center - Tesla Supercharger,94103,37.765808,-122.409857
STRATA STRATA 2,94158,37.772668,-122.390913
STRATA STRATA 1,94158,37.772687,-122.390858
Safeway San Francisco #2646,94118,37.775101,-122.465106
SFO 674 North McDonnell Road Stations,94128,37.62169,-122.39936
SFO 674 North McDonnell Road Stations,94128,37.62169,-122.39936
SFO Courtyard 4,94128,37.62646,-122.40095
SFO Courtyard A,94128,37.614485,-122.390108
SFO Courtyard G,94128,37.616035,-122.39071
